JOB ID,TEST STATUS,TEST END,TEST SUBMISSION ID,FAILED COMMENTS,SCRIPT NAME,SUITE NAME,CHANGED BY,ANALYSIS,ANALYSED BY,CATEGORY,TEST INFO ID,TICKET NUMBER,UPDATED TIME
370881,ABORTED,5/26/2021 12:15,9374449,,bgpribgroup.pl_193r1evo_rli38534_virtual_scapa,VIRTUAL_SCAPA_PCT_PFE_RLI38534_L3FWD_3,,,,,,,
370897,FAILED,5/26/2021 11:53,9374503,"Ignoring because of core pattern rule ID 2,2,2",vMX_ZT_chassisd_test.pl_86042_Default,ferrari_basic_platform_sanity,pct-admin,,,,,,
370868,FAILED,5/26/2021 11:48,9374302,,L2_Scapa_CI_Sanity,L2_CI_Sanity,,,,,,,
370912,FAILED,5/26/2021 11:49,505553,,,unit-test,,,,,,,
370897,FAILED,5/26/2021 11:33,504829,,,unit-test,,,,,,,
370845,ABORTED,5/26/2021 11:17,9374391,This script is not supported for this Branch/Release,BFD_PIMv6_SINGLEHOP_VMX,RPD_PC_BFD_MTS,pct-admin,,,,,,
370868,FAILED,5/26/2021 10:55,505869,,,unit-test,,,,,,,
370814,ABORTED,5/26/2021 10:49,9373747,,vscapa_sanity_if_dualVlan,s2c_aft_vscapa_interfaces,,,,,,,
370829,FAILED,5/26/2021 10:40,9374220,"Same Failure is seen in the baseline, Please refer DR ID 9366154",ospf_dr.pl_1185_Default,RPD_PC_OSPF,pct-admin,,,,,,
370829,ABORTED,5/26/2021 11:07,9374217,,ROSEN7ER1.pl_1094_Default,RPD_PC_Multicast,,,,,,,
370829,ABORTED,5/26/2021 11:07,9374212,,igmp_snooping_evpnompls_intra_vlan_inter_vlan_multicast_access_port_3_3.robot_PCT_2_2,RPD_PC_EVPN,,,,,,,
370829,ABORTED,5/26/2021 11:07,9374220,,ospf_nsr_3.pl_RIAD_TRIO_SPLIT,RPD_PC_OSPF,,,,,,,
370807,FAILED,5/26/2021 10:31,9374178,Ignoring because of core pattern rule ID 2,vMX_ZT_chassisd_test.pl_86042_Default,ferrari_basic_platform_sanity,pct-admin,,,,,,
370821,FAILED,5/26/2021 10:45,9374118,Ignoring because of core pattern rule ID 1,ospf_no_lsa7to5_refresh.pl_1909_Default,RPD_PC_OSPF,pct-admin,,,,,,
370807,ABORTED,5/26/2021 10:58,9374173,,Infra_l2_l3_mpls_fw_vbrackla,brackla_basic_platform_sanity,,,,,,,
370376,ABORTED,5/26/2021 10:17,9374158,This script is not supported for this Branch/Release,peer_as_routing_instances.robot_132673_Default,RPD_PC_BGP,pct-admin,,,,,,
370376,ABORTED,5/26/2021 10:17,9374158,This script is not supported for this Branch/Release,peer_as_logical_systems.robot_132671_Default,RPD_PC_BGP,pct-admin,,,,,,
370376,ABORTED,5/26/2021 10:17,9374158,This script is not supported for this Branch/Release,peer_as_ebgp_group.robot_132670_Default,RPD_PC_BGP,pct-admin,,,,,,
370376,ABORTED,5/26/2021 10:17,9374158,This script is not supported for this Branch/Release,peer_as_sanity.robot_132579_Default,RPD_PC_BGP,pct-admin,,,,,,
370376,ABORTED,5/26/2021 10:17,9374158,This script is not supported for this Branch/Release,peer_as_negativesanity.robot_132669_Default,RPD_PC_BGP,pct-admin,,,,,,
370376,ABORTED,5/26/2021 10:17,9374158,This script is not supported for this Branch/Release,ebgp_default_policy_003.robot_136559_Default,RPD_PC_BGP,pct-admin,,,,,,
370376,ABORTED,5/26/2021 10:17,9374158,This script is not supported for this Branch/Release,BGP_204_RLI43559_bgpidentifier_001.robot_142154_Default,RPD_PC_BGP,pct-admin,,,,,,
370376,ABORTED,5/26/2021 10:17,9374158,This script is not supported for this Branch/Release,ebgp_default_policy_001.robot_136557_Default,RPD_PC_BGP,pct-admin,,,,,,
370359,ABORTED,5/26/2021 10:18,9374148,This script is not supported for this Branch/Release,j81_tpi_4068_snmpd_traceoptions_DDL_code_cleanup.pl_PCT_2_2,SNMP_PC_MISC,pct-admin,,,,,,
370359,ABORTED,5/26/2021 10:18,9374148,This script is not supported for this Branch/Release,j81_tpi_4068_snmpd_traceoptions_DDL_code_cleanup.pl_PCT_2_1,SNMP_PC_MISC,pct-admin,,,,,,
370359,ABORTED,5/26/2021 10:18,9374146,This script is not supported for this Branch/Release,PR_591896_all_junos_sw_snmp_wrong_destn_ip_address_in_sd_syslog.pl_9336_Default,SNMP_PC_PROTOCOL_V2,pct-admin,,,,,,
370821,FAILED,5/26/2021 11:08,9374123,Ignoring because of core pattern rule ID 1,rli8301_dyn_policy_aspath.pl_1866_Default,RPD_PC_Policy,pct-admin,,,,,,
370821,FAILED,5/26/2021 10:48,9374104,Ignoring because of core pattern rule ID 1,151F4_stout_RLI24277_rsvp_oam.pl_RIAD_VSPIRENT,RPD_PC_RSVP,pct-admin,,,,,,
370821,ABORTED,5/26/2021 10:56,9374097,,182R1_RLI_34996_MX_IGMP_Snooping_EVPNoMPLS_INTRA_VLAN_INTER_VLAN_Multicast_Access_Port_2_3.robot_PCT_2_2,RPD_PC_EVPN,,,,,,,
370821,FAILED,5/26/2021 11:29,9374076,Ignoring because of core pattern rule ID 1,Static_lsp_stats.pl_1642_Default,RPD_PC_MPLS,pct-admin,,,,,,
370821,FAILED,5/26/2021 12:04,9374076,Ignoring because of core pattern rule ID 1,linkProExplicit.pl_832_Default,RPD_PC_MPLS,pct-admin,,,,,,
370814,FAILED,5/26/2021 9:09,9373756,,vscapa_sanity_mpls_pop,s2c_aft_vscapa_mpls,,,,,,,
370814,ABORTED,5/26/2021 10:07,9373756,,vscapa_sanity_mpls_el,s2c_aft_vscapa_mpls,,,,,,,
370814,FAILED,5/26/2021 9:09,9373756,,vscapa_sanity_mpls_push,s2c_aft_vscapa_mpls,,,,,,,
